id,title,year,image_url,source,license,country,type
/401/item_7RIIRSATNG73WI7DHOPBKXMHZ7555EKS,World War II matches,1958,https://www.muis.ee/digitaalhoidla/api/meedia/originaal?id=fdd499eb-f035-4627-b243-e057c2d8b19c,Europeana,http://creativecommons.org/publicdomain/zero/1.0/,Estonia,IMAGE
/401/item_UQOAOE3XMFTA6ZVHUD6HJO6LWIMNUQQW,"Gunball brake, World War II",1943,https://www.muis.ee/digitaalhoidla/api/meedia/originaal?id=3262f959-02f4-49b6-a18c-e964f422cfc0,Europeana,http://creativecommons.org/publicdomain/zero/1.0/,Estonia,IMAGE
/9200579/hkpvqdxf,WORLD WAR II: Casualty Evaucation by jeep,2044,"https://iiif.wellcomecollection.org/image/L0031963.jpg/full/512,/0/default.jpg",Europeana,http://creativecommons.org/licenses/by/4.0/,United Kingdom,IMAGE
/9200579/s8ynvkz2,WORLD WAR II: Casualty evacuation by jeep,2045,"https://iiif.wellcomecollection.org/image/L0031962.jpg/full/512,/0/default.jpg",Europeana,http://creativecommons.org/licenses/by/4.0/,United Kingdom,IMAGE
/9200579/js3f2ysk,Mosquitoes: American soldiers in World War II...,2044,"https://iiif.wellcomecollection.org/image/L0074413.jpg/full/512,/0/default.jpg",Europeana,http://creativecommons.org/licenses/by/4.0/,United Kingdom,IMAGE
/401/item_E6ROPNMQ4C4HH4IG75SKRSGFGUO5DQ5T,Group image before World War II,1959,https://www.muis.ee/digitaalhoidla/api/meedia/originaal?id=cafbfe7f-3b25-4912-b92b-84ff3b650742,Europeana,http://creativecommons.org/publicdomain/zero/1.0/,Estonia,IMAGE
/401/item_YXIOS7XZC4IWMXSEQRHKQK4RUO3BAEI2,Grupipilt enne II maailmasõda,1960,https://www.muis.ee/digitaalhoidla/api/meedia/originaal?id=dfaa5e65-6225-403f-967d-ab373299ea05,Europeana,http://creativecommons.org/publicdomain/zero/1.0/,Estonia,IMAGE
/401/item_FUHXXRDTDRDGNN24SKQHHYEOCCOR33PN,Group image before World War II,1959,https://www.muis.ee/digitaalhoidla/api/meedia/originaal?id=1e98366d-a8a2-4dba-8992-f8a226f40218,Europeana,http://creativecommons.org/publicdomain/zero/1.0/,Estonia,IMAGE
/9200231/BibliographicResource_2000092035630,Weltkriegs-Sonette,1916,http://content.staatsbibliothek-berlin.de/dms/PPN71926376X/1200/0/00000001.jpg,Europeana,http://creativecommons.org/publicdomain/mark/1.0/,Germany,IMAGE
/2020711/DR_4099,World War II cemetery,2068,http://register.muinas.ee/content/monument/regular/38347.jpg,Europeana,http://creativecommons.org/publicdomain/zero/1.0/,Estonia,IMAGE
/125/contributions_9ca035c0_e6b2_0137_690a_6eee0af40a3a,Talking with the last witnesses of World War II,2072,http://contribute.europeana.eu/media/9c9e4f90-e6b2-0137-690a-6eee0af40a3a,Europeana,http://creativecommons.org/licenses/by-sa/4.0/,Europe,IMAGE
/2020711/DR_47,World War II common grave,2067,http://register.muinas.ee/content/monument/regular/52661.jpg,Europeana,http://creativecommons.org/publicdomain/zero/1.0/,Estonia,IMAGE
/2020711/DR_38,World War II common grave,2067,http://register.muinas.ee/content/monument/regular/28391.jpg,Europeana,http://creativecommons.org/publicdomain/zero/1.0/,Estonia,IMAGE
/2020711/DR_55,World War II common grave,2067,http://register.muinas.ee/content/monument/regular/180464.jpg,Europeana,http://creativecommons.org/publicdomain/zero/1.0/,Estonia,IMAGE
/2020711/DR_48,World War II common grave,2067,http://register.muinas.ee/content/monument/regular/182961.jpg,Europeana,http://creativecommons.org/publicdomain/zero/1.0/,Estonia,IMAGE
/2020711/DR_54,II Maailmasõjas hukkunute ühishaud,2067,http://register.muinas.ee/content/monument/regular/52510.jpg,Europeana,http://creativecommons.org/publicdomain/zero/1.0/,Estonia,IMAGE
/916105/bhm_photo_UMFA53671_0026,Gränsbevakning under andra världskriget,2033,https://mm.dimu.org/image/032wXWAkQLsH?dimension=1200x1200,Europeana,http://creativecommons.org/publicdomain/mark/1.0/,Sweden,IMAGE
/916105/bhm_photo_UMFA53671_0022,Border Guard during World War II,2033,https://mm.dimu.org/image/022wXWAkQLsA?dimension=1200x1200,Europeana,http://creativecommons.org/publicdomain/mark/1.0/,Sweden,IMAGE
/2020711/DR_4164,common grave of World War II deaths,2068,http://register.muinas.ee/content/monument/regular/107827.jpg,Europeana,http://creativecommons.org/publicdomain/zero/1.0/,Estonia,IMAGE
/2020711/DR_4160,II maailmasõjas hukkunute ühishaud,2068,http://register.muinas.ee/content/monument/regular/134278.jpg,Europeana,http://creativecommons.org/publicdomain/zero/1.0/,Estonia,IMAGE
